index,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
11,barrio Zarzaquemada,1,es,{'typology': 'flat'},29335,Zarzaquemada,False,VI-000-030-685-897,,False,False,,True,False,40.3348261,-3.7548852,Leganés,Zarzaquemada,False,27,rent,,695.0,9.0,84777895,flat,Madrid,3,False,75.0,good,"{'subtitle': 'Zarzaquemada, Leganés', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/28/34/646541889.jpg,https://www.idealista.com/inmueble/84777895/
12,Foso-Moreras,1,es,{'typology': 'flat'},27369,Foso-Moreras,False,VI-000-030-678-071,,False,False,,True,False,40.0347685,-3.5946801,Aranjuez,,False,26,rent,,385.0,7.0,36206756,flat,Madrid,2,False,55.0,good,"{'subtitle': 'Foso-Moreras, Aranjuez', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/c1/a9/735640650.jpg,https://www.idealista.com/inmueble/36206756/
13,barrio Numancia,1,es,{'typology': 'flat'},26156,Puente de Vallecas,False,VI-000-030-686-875,,False,False,,True,False,40.3954119,-3.6674748,Madrid,Numancia,False,8,rent,,495.0,15.0,82662531,flat,Madrid,2,False,33.0,good,"{'subtitle': 'Numancia, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/45/7f/602219066.jpg,https://www.idealista.com/inmueble/82662531/
14,"Calle de Carretas, Madrid, 25",1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29898,Centro,False,Sol Est Sup 1I,1,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,21,rent,,1113.0,25.0,84158302,studio,Madrid,0,True,45.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Estudio en Calle de Carretas, Madrid, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/1d/90/633024846.jpg,https://www.idealista.com/inmueble/84158302/
15,"Calle carretas, 25",1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29898,Centro,False,1F EST EXT,1,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,20,rent,,1113.0,28.0,86402435,studio,Madrid,0,True,40.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Estudio en Calle carretas, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/6e/a6/692258789.jpg,https://www.idealista.com/inmueble/86402435/
16,Calle carretas,1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29848,Centro,True,2G ESTUDIO EXTERIOR,2,False,False,False,True,False,40.4140838,-3.7037199,Madrid,Sol,False,20,rent,,1113.0,28.0,86504019,studio,Madrid,0,False,40.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Estudio en Calle carretas'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/87/bd/695221637.jpg,https://www.idealista.com/inmueble/86504019/
17,Calle S'agaro,1,es,{'typology': 'flat'},24374,Puente de Vallecas,True,s`agaro,2,False,False,False,False,False,40.389801,-3.6461588,Madrid,Portazgo,False,7,rent,,695.0,14.0,85767538,flat,Madrid,2,False,50.0,good,"{'subtitle': 'Portazgo, Madrid', 'title': ""Piso en Calle S'agaro""}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/80/9b/674656539.jpg,https://www.idealista.com/inmueble/85767538/
18,"Calle de Carretas, Madrid, 25",1,es,{'typology': 'flat'},29898,Centro,False,2A 1D LAVADORA,2,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,18,rent,,1363.0,27.0,84158469,flat,Madrid,1,True,50.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Piso en Calle de Carretas, Madrid, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/6e/94/633029813.jpg,https://www.idealista.com/inmueble/84158469/
19,"Calle de la Virgen del Rocío, 5",3,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",47645,,False,VIL_14,,False,False,,False,False,40.2342191,-3.9903676,El Álamo,,False,16,rent,,1000.0,4.0,39062082,chalet,Madrid,5,True,230.0,good,"{'subtitle': 'El Álamo', 'title': 'Casa independiente en Calle de la Virgen del Rocío, 5'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/b6/25/731486935.jpg,https://www.idealista.com/inmueble/39062082/
20,barrio Almagro,2,es,{'typology': 'flat'},30247,Chamberí,True,03024,3,True,False,True,False,True,40.4287179,-3.69355,Madrid,Almagro,False,16,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 270.0}",1600.0,15.0,87327586,flat,Madrid,2,False,110.0,good,"{'subtitle': 'Almagro, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/6b/8b/720733353.jpg,https://www.idealista.com/inmueble/87327586/
21,Calle Ventura de la Vega s/n,1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29669,Centro,True,4A VV EST SUP ATICO,4,False,False,False,True,False,40.41607,-3.6988884,Madrid,Huertas-Cortes,False,14,rent,,1446.0,29.0,86510091,studio,Madrid,0,True,50.0,good,"{'subtitle': 'Huertas-Cortes, Madrid', 'title': 'Estudio en Calle Ventura de la Vega s/n'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/c2/39/695401947.jpg,https://www.idealista.com/inmueble/86510091/
22,"Avenida de Peña Prieta, Madrid",1,es,{'typology': 'flat'},26380,Puente de Vallecas,True,peña prieta,4,False,False,False,False,False,40.4016323,-3.6640333,Madrid,Numancia,False,10,rent,,675.0,11.0,85078641,flat,Madrid,3,False,63.0,good,"{'subtitle': 'Numancia, Madrid', 'title': 'Piso en Avenida de Peña Prieta, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/c0/e9/654039429.jpg,https://www.idealista.com/inmueble/85078641/
23,"Calle de Orense, 27",2,es,{'typology': 'flat'},32112,Tetuán,True,3248-16816,6,False,False,True,False,False,40.4515644,-3.6953293,Madrid,Cuatro Caminos,False,22,rent,,2000.0,16.0,87658292,flat,Madrid,2,True,128.0,good,"{'subtitle': 'Cuatro Caminos, Madrid', 'title': 'Piso en Calle de Orense, 27'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/4d/a7/727560173.jpg,https://www.idealista.com/inmueble/87658292/
24,"Carretas, 25",1,es,{'typology': 'flat'},29898,Centro,True,2C 1D BALCON CARR,1,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,14,rent,,1363.0,34.0,86225206,flat,Madrid,1,True,40.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Piso en Carretas, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/2c/eb/686894561.jpg,https://www.idealista.com/inmueble/86225206/
25,barrio Ciudad Universitaria,7,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",34683,Moncloa,False,2447,,True,False,,True,True,40.4590911,-3.7280713,Madrid,Ciudad Universitaria,False,41,rent,,9400.0,9.0,86172484,chalet,Madrid,5,False,1049.0,good,"{'subtitle': 'Ciudad Universitaria, Madrid', 'title': 'Casa independiente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/53/75/703504449.jpg,https://www.idealista.com/inmueble/86172484/
26,Avenida de la Ciudad de Barcelona,3,es,{'typology': 'flat'},26638,Retiro,False,e7b8028117425ca83f54,7,False,False,False,False,False,40.3984428,-3.6715668,Madrid,Adelfas,False,47,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2700.0,19.0,87626705,flat,Madrid,3,False,140.0,,"{'subtitle': 'Adelfas, Madrid', 'title': 'Piso en Avenida de la Ciudad de Barcelona'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/e9/0d/726608008.jpg,https://www.idealista.com/inmueble/87626705/
27,barrio San Diego,1,es,{'typology': 'flat'},26038,Puente de Vallecas,False,VI-000-030-686-958,,False,False,,True,False,40.3894291,-3.6719416,Madrid,San Diego,False,7,rent,,760.0,12.0,83881815,flat,Madrid,2,False,62.0,good,"{'subtitle': 'San Diego, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/12/9b/627697265.jpg,https://www.idealista.com/inmueble/83881815/
28,barrio Numancia,1,es,{'typology': 'flat'},26474,Puente de Vallecas,False,VI-000-030-687-123,,False,False,,True,False,40.4022323,-3.6648333,Madrid,Numancia,False,13,rent,,675.0,11.0,36973182,flat,Madrid,3,False,63.0,good,"{'subtitle': 'Numancia, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/59/46/207548655.jpg,https://www.idealista.com/inmueble/36973182/
29,Juan Carlos I,3,es,"{'typology': 'flat', 'subTypology': 'duplex'}",56509,,True,AV3,1,False,False,False,False,True,40.2030505,-4.0924869,Valmojado,,False,29,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 50.0}",700.0,5.0,85538367,duplex,Toledo,4,False,133.0,good,"{'subtitle': 'Valmojado', 'title': 'Dúplex en Juan Carlos I'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/85/fe/f4/665803082.jpg,https://www.idealista.com/inmueble/85538367/
30,barrio Rejas,1,es,{'typology': 'flat'},25891,San Blas,True,900cs-6,2,False,False,True,False,False,40.4492059,-3.5782937,Madrid,Rejas,False,21,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,87722664,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/d8/f7/729395353.jpg,https://www.idealista.com/inmueble/87722664/
